,"대여소
번호",보관소(대여소)명,소재지(위치),상세주소,위도,경도,"설치
시기",설치형태,거치대수,"운영
방식"
4,301.0, 경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞,37.57579422,126.97145081,2015-10-07 12:03:46.000,20,20,QR
5,302.0, 경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤,37.57594681,126.97406006,2015-10-07 12:04:22.000,12,12,QR
6,303.0, 광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189 세종로공원,37.57176971,126.97466278,2015-10-07 00:00:00.000,8,8,QR
7,305.0, 종로구청 옆,종로구,서울특별시 종로구 세종로 84-1,37.57255936,126.97833252,2015-01-07 00:00:00.000,16,16,QR
8,307.0, 서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55 서울역사박물관 앞,37.56999969,126.97109985,2015-10-07 12:09:09.000,11,11,QR
9,308.0, 광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82 광화문S타워 앞,37.56996918,126.97393799,2015-10-07 12:09:58.000,20,31,QR
10,309.0, 광화문역 6번출구 옆 B,종로구,서울특별시 종로구 새문안로 102-2 가로판매대,37.56996155,126.97615814,2015-10-07 00:00:00.000,13,13,QR
11,314.0, 국립현대미술관,종로구,서울특별시 종로구 삼청로 30 국립현대미술관 서울관,37.5797081,126.98085785,2015-10-07 12:13:37.000,10,10,QR
12,316.0, 종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47 종각역 1번출구 앞,37.57039642,126.98178864,2015-10-07 00:00:00.000,8,8,QR
13,326.0, 안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞,37.57624054,126.98616028000001,2015-10-07 12:22:14.000,18,15,QR
14,327.0, 낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428 낙원상가 옆,37.57335663,126.9874649,2015-10-07 00:00:00.000,10,10,QR
15,328.0, 탑골공원 앞,종로구,서울특별시 종로구 종로 99 탑골공원 앞,37.57039642,126.9881897,2015-10-07 12:23:33.000,11,11,QR
