,"대여소
번호",보관소(대여소)명,소재지(위치),상세주소,위도,경도,"설치
시기",설치형태,거치대수,"운영
방식"
16,329.0, 청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93 파고다타워,37.56848526,126.98788452,2015-10-07 12:24:36.000,8,8,QR
17,334.0, 종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤,37.5705986,126.99179077,2015-10-07 12:27:34.000,10,10,QR
18,335.0, 종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129 15번출구 앞,37.57019424,126.99165344,2015-10-07 00:00:00.000,10,10,QR
19,337.0, 창경궁 입구,종로구,서울특별시 종로구 창경궁로 185 창경궁 입구,37.57897949,126.99647522,2015-10-07 12:29:40.000,5,5,QR
20,338.0,세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109 세운스퀘어 앞,37.57095718,126.99712372,2015-10-07 12:30:12.000,18,18,QR
21,339.0, 종로4가 사거리,종로구,서울특별시 종로구 종로 185 종로4가 사거리,37.57106781,126.99819183,2015-10-07 12:30:44.000,10,10,QR
22,340.0, 혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1 혜화동 로터리,37.58562851,127.00067902,2015-10-07 00:00:00.000,8,8,QR
23,341.0, 혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤,37.58156967,127.00178528000001,2015-10-07 00:00:00.000,10,8,QR
24,342.0, 대학로 마로니에공원,종로구,서울특별시 종로구 대학로 104 대학로 마로니에공원,37.57978439,127.00253296,2015-10-07 12:33:32.000,15,22,QR
25,343.0,힐스테이트창경궁 아파트 앞,종로구,서울특별시 종로구 충신동 60,37.57561111,127.00469971,2015-10-07 12:34:08.000,12,6,QR
26,344.0, 성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞,37.57419968,127.0065918,2015-10-07 12:34:49.000,10,10,QR
27,345.0, 서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.57330704,127.00070953,2015-10-07 12:35:48.000,18,18,QR
28,348.0, 독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.57202911,126.96078491,2016-06-01 14:30:00.000,14,,LCD
29,349.0,어린이도서관,종로구,서울특별시 종로구 사직로9길 5 사직동주민센터,37.57633209,126.96858978,2016-06-01 14:30:00.000,5,,LCD
30,351.0, 청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22 청운초교 앞 삼거리,37.58496857,126.97041321,2016-06-01 14:30:00.000,5,,LCD
31,352.0, 중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191 중앙고입구 삼거리,37.58341599,126.98523712,2016-06-01 14:30:00.000,10,,LCD
32,353.0, 재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19 재동초교 앞 삼거리,37.57938766,126.9849472,2016-06-01 14:30:00.000,8,,LCD
33,354.0, 포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3 포르투갈 대사관 앞,37.57915497,126.98896027,2016-06-01 14:30:00.000,10,10,QR
34,355.0,서울사대부설초등학교 앞,종로구,서울특별시 종로구 연건동 178-3 서울사대부속초교 앞,37.57650757,127.00245667,2016-06-01 14:30:00.000,15,15,QR
35,356.0, KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65 KT혜화지사 앞,37.57714462,127.00205994,2016-06-01 14:30:00.000,15,15,QR
36,358.0,성균관대입구 사거리 A,종로구,서울특별시 종로구 창경궁로 234 성대입구 사거리,37.58250046,126.99853516,2016-06-01 14:30:00.000,13,13,QR
37,359.0, 원남동사거리,종로구,서울특별시 종로구 율곡로 169 원남동사거리,37.57606125,126.99768066,2016-06-01 14:30:00.000,8,,LCD
38,361.0, 동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39 동묘앞역 1번출구 뒤,37.57324219,127.01590729,2016-06-01 14:30:00.000,10,,LCD
39,362.0, 청계8가 사거리 A,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57219696,127.02304077,2016-06-01 14:30:00.000,10,,LCD
40,363.0, 신설동역 11번출구 뒤,종로구,서울특별시 종로구 종로 411-3 가로판매,37.57559204,127.02285004,2016-06-01 14:30:00.000,13,,LCD
41,364.0, 창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87 창신역 1번출구 앞,37.57933426,127.01508331,2016-06-01 14:30:00.000,8,8,QR
42,367.0, 독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7 독립문역 3번출구 뒤,37.57415771,126.95851898,2016-06-01 14:30:00.000,8,13,QR
43,368.0, SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2 SK 서린빌딩 앞,37.5692482,126.98053741,2016-06-01 14:30:00.000,15,15,QR
44,385.0, 종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1 종각역 5번출구,37.56983566,126.98265839,2016-07-06 12:00:00.000,10,,LCD
45,388.0, 동성중학교 앞,종로구,서울특별시 종로구 혜화동 56 동성중학교 앞,37.58573532,127.0016098,2016-09-02 11:00:00.000,10,,LCD
46,393.0, 동대문역 8번 출구,종로구,서울특별시 종로구 율곡로 지하 308 동대문역 8번출구,37.57014084,127.00937653,2018-01-26 14:06:14.000,12,,LCD
47,394.0, 경희궁 자이 3단지,종로구,서울특별시 종로구 경교장길 35 경희궁자이 3단지,37.56748962,126.96591949,2018-01-26 14:07:43.000,15,15,QR
48,395.0, 경희궁 자이 2단지,종로구,서울특별시 종로구 송월길 99 경희궁 자이 3단지,37.56885529,126.96456146,2018-01-26 14:08:25.000,8,,LCD
49,397.0, 종묘공영주차장 건너편,종로구,서울특별시 종로구 종로 지하 200 종묘공영주차장 건너편,37.57048035,126.99663544,2018-04-30 11:16:05.000,13,,LCD
50,446.0, 상명대입구,종로구,서울특별시 종로구 홍지문길 1 상명대 입구,37.60012817,126.95783234,2017-08-01 14:17:25.000,13,,LCD
51,447.0, 신영동삼거리,종로구,서울특별시 종로구 진흥로 499 신영동 삼거리,37.60399246,126.96194458,2017-08-01 14:18:31.000,6,6,QR
52,449.0, 일성아파트,종로구,서울특별시 종로구 평창문화로 119 일성아파트,37.60871887,126.97286224,2017-08-01 14:20:36.000,10,,LCD
53,450.0, 효자동 삼거리,종로구,서울특별시 종로구 효자로13길 45 종로구 궁정동 98-2,37.58360291,126.97254944,2017-09-07 16:05:37.000,20,51,QR
54,451.0, 청와대앞길,종로구,서울특별시 종로구 청와대로 73 종로구 세종로 1-54,37.58351517,126.97966766,2017-09-07 16:08:37.000,8,,LCD
55,452.0, 동대문 종합시장 버스정류장,종로구,서울특별시 종로구 종로 239 동대문 종합시장 버스정류장,37.57123947,127.00440979,2018-10-23 00:00:00.000,13,13,QR
56,453.0, 종로오가 지하쇼핑센터 14번출구,종로구,서울특별시 종로구 종로 지하 200 종로5가 지하쇼핑센터 14번출구,37.57114029,127.00067139,2018-08-31 00:00:00.000,10,,LCD
57,454.0, 종로2가 버스정류장 (종각방향),종로구,서울특별시 종로구 종로 79-1 종로2가 버스정류장 (종각방향),37.57035828,126.98638153,2018-08-31 00:00:00.000,13,13,QR
58,455.0, 종로6가역 버스정류장(동대문 방향),종로구,서울특별시 종로구 종로 254-1 삼익한의원,37.570961,127.00605774,2018-08-30 00:00:00.000,8,,LCD
59,456.0, 숭인2동 주민센터 입구,종로구,서울특별시 종로구 종로 383-1 숭인2동 주민센터 입구 (이강3대냉면),37.57447052,127.0198288,2018-08-30 00:00:00.000,10,,LCD
60,457.0, 종로꽃시장 입구 옆,종로구,서울특별시 종로구 율곡로 지하 308 종로?시장 입구 옆,37.57131958,127.00720978,2018-08-30 00:00:00.000,10,,LCD
61,458.0, 광화문역 5번출구,종로구,서울특별시 종로구 세종대로 152 일민미술관,37.56989288,126.97756958,2018-08-31 00:00:00.000,21,,LCD
62,461.0, 서울지방경찰청,종로구,서울특별시 종로구 사직로8길 31 서울지방경찰청,37.57436371,126.97236633,2018-10-29 00:00:00.000,10,,LCD
63,462.0, 신영동삼거리(북악터널방향),종로구,서울특별시 종로구 평창문화로 6-4 신영동삼거리(북악터널방향),37.60351181,126.96206665,2019-06-20 00:00:00.000,10,,LCD
64,464.0, 삼청동 골목,종로구,서울특별시 종로구 팔판길 46 삼청동 골목,37.58419037,126.98169708,2019-08-16 00:00:00.000,10,10,QR
65,465.0, 삼청공원 앞,종로구,서울특별시 종로구 삼청동 25-32,37.58760452,126.9835968,2019-11-20 00:00:00.000,5,,LCD
66,486.0, 평창동주민센터 앞,종로구,서울특별시 종로구 평창문화로 65 평창동 주민센터,37.60627365,126.96832275,2019-07-01 00:00:00.000,5,,LCD
67,3401.0,창신두산아파트,종로구,서울특별시 종로구 지봉로5길 7 두산아파트,37.57376099,127.0139389,2020-06-11 00:00:00.000,,10,QR
68,3402.0,이화공영주차장,종로구,서울특별시 종로구 이화동 13-2,37.57660675,127.00556946,2020-04-19 00:00:00.000,,10,QR
69,3404.0,서울특별시 중부교육지원청,종로구,서울특별시 종로구 대학로 8 수도빌딩,37.57185364,127.00235748,2020-02-03 00:00:00.000,,9,QR
70,3405.0,파크팰리스,종로구,서울특별시 종로구 사직로8길 20 경희궁 파크팰리스,37.57455063,126.97055054,2020-02-11 00:00:00.000,,10,QR
71,3407.0,안국동사거리(신),종로구,서울특별시 종로구 안국동 175-92,37.57580566,126.98339081,2020-02-10 00:00:00.000,,18,QR
72,3408.0,종로타워빌딩,종로구,서울특별시 종로구 공평동 70-4,37.57070541,126.98323822,2020-02-10 00:00:00.000,,13,QR
73,3410.0,종로3가역 8번출구,종로구,서울특별시 종로구 돈화문로10길 2,37.5724678,126.99188995,2020-02-11 00:00:00.000,,10,QR
74,3411.0,종묘,종로구,서울특별시 종로구 종로 153-2 가로판매대,37.57072067,126.99437714,2020-02-10 00:00:00.000,,10,QR
75,3412.0,세운상가,종로구,서울특별시 종로구 종로 152,37.5703125,126.99454498,2020-02-11 00:00:00.000,,15,QR
76,3413.0,종로플레이스,종로구,서울특별시 종로구 창경궁로 120 종로플레이스,37.57320023,126.99796295,2020-02-04 00:00:00.000,,22,QR
77,3414.0,종로5가역 4번출구,종로구,서울특별시 종로구 종로5가 79-2,37.57117462,127.00222778,2020-02-11 00:00:00.000,,10,QR
78,3415.0,동대문역6번출구,종로구,서울특별시 종로구 종로 302 1호선 동대문역,37.57146072,127.01078796,2020-02-26 00:00:00.000,,15,QR
79,3416.0,동묘앞역 6번출구,종로구,서울특별시 종로구 창신동 397-6,37.5715332,127.01561737,2020-02-04 00:00:00.000,,15,QR
80,3417.0,창신3동주민센터,종로구,서울특별시 종로구 창신동 23-825,37.57772446,127.01525116,2020-02-03 00:00:00.000,,12,QR
81,3418.0,창신역2번 출구,종로구,서울특별시 종로구 창신동 1-105,37.57998657,127.01506042,2020-02-03 00:00:00.000,,10,QR
82,3419.0,국립어린이과학관,종로구,서울특별시 종로구 와룡동 2-85,37.58194733,126.99736786,2020-02-10 00:00:00.000,,14,QR
83,3420.0, 성균관대입구 사거리 B,종로구,서울특별시 종로구 명륜2가 197-4,37.58327484,126.99885559,2020-02-04 00:00:00.000,,10,QR
84,3421.0,혜화역 1번출구,종로구,서울특별시 종로구 대학로 144 중원빌딩,37.58385468,127.00185394,2020-02-04 00:00:00.000,,10,QR
85,3422.0,성균관대 정문,종로구,서울특별시 종로구 명륜2가 133,37.58479691,126.99713135,2020-02-04 00:00:00.000,,23,QR
86,3423.0,현대그룹(본사),종로구,서울특별시 종로구 연지동 1-38,37.57583618,127.00069427,2020-02-04 00:00:00.000,,20,QR
87,3425.0,광화문 풍림스페이스본 1단지앞,종로구,서울특별시 종로구 사직동 9-2,37.57529068,126.96895599,2020-05-04 00:00:00.000,,7,QR
88,3426.0,독립문역 2번출구 뒤,종로구,서울특별시 종로구 무악동 32-3,37.57501602,126.95755005,2020-02-11 00:00:00.000,,10,QR
89,3427.0,인왕산 아이파크 정문,종로구,서울특별시 종로구 무악동 60-5,37.57666779,126.95584869,2020-02-13 00:00:00.000,,8,QR
90,3428.0,서울미술관,종로구,서울특별시 종로구 부암동 202-1,37.59512711,126.96349335,2020-02-13 00:00:00.000,,10,QR
91,3429.0,HW컨벤션센터 앞,종로구,서울특별시 종로구 부암동 134-2,37.59725952,126.96308899,2020-02-13 00:00:00.000,,10,QR
92,3430.0,구기치안센터 앞,종로구,서울특별시 종로구 비봉길 12,37.60950089,126.9566803,2020-02-13 00:00:00.000,,8,QR
93,3431.0,로제우스 레포츠센터,종로구,서울특별시 종로구 구기동 110-22,37.60760117,126.95768738,2020-02-13 00:00:00.000,,10,QR
94,3432.0,종로2가 사거리,종로구,서울특별시 종로구 종로 98 와이.비.엠 종로빌딩,37.57001877,126.98880768,2020-02-10 00:00:00.000,,15,QR
95,4703.0, 쌍용아파트2단지 정문,종로구,서울특별시 종로구 낙산길198(창신3동),37.58131409,127.01268005,2020-09-21 00:00:00.000,,8,QR
96,4707.0, 청계3가 사거리,종로구,서울특별시 종로구 관수동91-1,37.56855774,126.99211884,2020-09-22 00:00:00.000,,5,QR
97,4708.0, 조계사앞사거리,종로구,서울특별시 종로구 삼봉로95(견지동110),37.5721817,126.98283386,2020-09-22 00:00:00.000,,6,QR
98,4710.0, 자교교회 앞,종로구,서울특별시 종로구 자하문로 56 자교교회,37.58114624,126.97123718,2020-11-05 00:00:00.000,,8,QR
99,4711.0, 올림픽기념 국민생활관 로터리,종로구,서울특별시 종로구 혜화로 50,37.58983612,126.99934387,2020-09-10 00:00:00.000,,10,QR
100,4705.0, 웰니스센터(민방위교육장 앞),종로구,서울특별시 종로구 운니동 98-7,37.57752991,126.98912811,2020-12-22 00:00:00.000,,6,QR
101,4709.0, 천지인 오피스텔 앞,종로구,서울특별시 종로구 평창동 290-15,37.60469818,126.96451569,2021-02-02 00:00:00.000,,5,QR
102,4713.0, 현대 뜨레비앙 아파트 앞,종로구,서울특별시 종로구 돈화문로11가길 59,37.57528305,126.99062347,2021-02-02 00:00:00.000,,7,QR
103,4715.0, 돈의문 박물관 마을,종로구,서울특별시 종로구 새문안로 39-1 동서한의원,37.56883621,126.96955109,2021-08-18 00:00:00.000,,15,QR
104,4718.0, 광화문역 6번출구 옆 A,종로구,서울특별시 종로구 세종로 208,37.56993103,126.9764328,2022-06-07 00:00:00.000,,10,QR
105,4719.0, 종로문화원 건너편,종로구,서울특별시 종로구 중학동 10-3,37.57571411,126.9805069,2022-06-24 00:00:00.000,,15,QR
106,300.0, 정동사거리,중구,서울특별시 중구 정동길 2-1 정동사거리,37.56805038,126.96923065,2015-10-07 00:00:00.000,7,6,QR
107,310.0, 청계광장 옆,중구,서울특별시 중구 세종대로 136 청계광장 옆,37.56887817,126.9774704,2015-10-07 12:11:15.000,13,8,QR
108,318.0, 광교사거리 남측,중구,서울특별시 중구 남대문로 125 DGB금융센터,37.56863403,126.98231506,2015-10-07 12:16:35.000,10,10,QR
109,320.0, 을지로입구역 4번출구 앞,중구,서울특별시 중구 을지로 55 명동금융센터 앞,37.56622314,126.98358917,2015-10-07 12:18:35.000,20,17,QR
110,321.0, KEB 하나금융그룹 명동사옥 옆,중구,서울특별시 중구 을지로 66 한국외환은행 본점 앞,37.56546402,126.98413849,2015-10-07 12:19:23.000,15,15,QR
111,322.0, 명동성당 앞,중구,서울특별시 중구 명동길 74 명동성당 앞,37.56447601,126.98696899,2015-10-07 12:19:51.000,10,10,QR
112,324.0, 신세계백화점 본점 앞,중구,서울특별시 중구 충무로1가 53-6,37.56143188,126.98069763,2015-10-07 12:21:14.000,10,8,QR
113,331.0, 을지로2가 사거리 북측,중구,서울특별시 중구 을지로 79 을지로2가 사거리 북측,37.56638336,126.98720551,2015-10-07 00:00:00.000,10,10,QR
114,332.0, 을지로2가 사거리 남측,중구,서울특별시 중구 을지로 100 을지로2가 사거리 남측,37.56599045,126.98779297,2015-10-07 12:25:45.000,5,5,QR
115,336.0, 충무로역 6번출구 앞,중구,서울특별시 중구 퇴계로 214 충무로역 3.4호선,37.56144714,126.99311066,2015-10-07 00:00:00.000,10,8,QR
116,346.0, 맥스타일 앞,중구,서울특별시 중구 마장로 3 맥스타일,37.56918335,127.00988007,2015-10-07 00:00:00.000,10,10,QR
117,347.0, 동대문역사문화공원역 9번출구 앞,중구,서울특별시 중구 장충단로 지하230 동대문역사문화공원역 9번출구 앞,37.56533051,127.00784302,2015-10-07 12:37:16.000,18,18,QR
118,370.0, 시청역(2호선) 9번출구 뒤,중구,서울특별시 중구 서소문로 지하127 시청역(2호선) 9번출구 뒤,37.56322861,126.97483826,2016-06-15 09:30:00.000,26,24,QR
119,371.0, 동대입구역 6번출구 뒤,중구,서울특별시 중구 동호로 지하256 동대입구역 6번출구 뒤,37.55887222,127.00553894,2016-06-15 09:30:00.000,10,10,QR
120,372.0, 약수역 3번출구 뒤,중구,서울특별시 중구 다산로 지하122 약수역 4번출구 뒤,37.55429459,127.01119995,2016-06-15 09:30:00.000,10,,LCD
121,374.0, 청구역 2번출구 앞,중구,서울특별시 중구 청구로 77 청구역 5.6호선,37.5604744,127.01407623,2016-06-15 09:30:00.000,12,,LCD
122,379.0, 서울역9번출구,중구,서울특별시 중구 세종대로 지하2 서울역9번출구,37.55599976,126.97335815,2016-06-15 09:30:00.000,7,,LCD
123,380.0, CJ제일제당 앞,중구,서울특별시 중구 동호로 330 CJ제일제당 앞,37.56386566,127.00274658,2016-06-15 09:30:00.000,8,,LCD
124,381.0, 장충체육관,중구,서울특별시 중구 장충동2가 200-99 장충체육관,37.55853271,127.00698853,2016-06-15 09:30:00.000,15,,LCD
125,382.0, 약수역 10번출구 앞,중구,서울특별시 중구 신당동 357-1 약수역 10번출구 앞,37.55519867,127.01004791,2016-06-15 09:30:00.000,7,,LCD
126,383.0, 신당역 12번 출구 뒤,중구,서울특별시 중구 신당동 99 신당역 5번 출구,37.565849299999996,127.0164032,2016-06-15 09:30:00.000,22,,LCD
127,384.0, 종로학원본원,중구,서울특별시 중구 청파로 456 종로학원본원 앞,37.55978012,126.96850586,2016-06-15 09:30:00.000,10,,LCD
128,387.0, 훈련원공원주차장 앞,중구,서울특별시 중구 을지로 227 훈련원공원주차장 앞,37.56699371,127.00346375,2016-07-06 12:00:00.000,10,,LCD
129,389.0, 을지로4가역 1번출구,중구,서울특별시 중구 을지로 지하 178 을지로4가역 1번출구,37.5667305,126.99660492,2017-08-03 10:49:42.000,10,,LCD
130,390.0, 충무로역 1번출구,중구,서울특별시 중구 퇴계로 212 충무로역 1번출구,37.56138992,126.9953537,2017-08-03 10:51:11.000,12,,LCD
131,391.0, 시립미술관,중구,서울특별시 중구 덕수궁길 61 서울시립미술관,37.56505203,126.97340393,2017-09-04 13:09:18.000,8,8,QR
132,398.0, 을지로3가역 3번출구,중구,서울특별시 중구 을지로 지하 129 을지로3가역 3번출구,37.56655884,126.99243927,2018-10-26 00:00:00.000,8,,LCD
133,399.0, 서울역 센트럴 자이아파트,중구,서울특별시 중구 만리재로 175 서울역 센트럴 자이아파트,37.55410767,126.96540833,2018-10-12 00:00:00.000,15,,LCD
134,428.0, 명보사거리,중구,서울특별시 중구 을지로 지하 129 명보사거리,37.56439972,126.99143219,2018-10-22 00:00:00.000,10,,LCD
135,429.0, 송도병원,중구,서울특별시 중구 다산로 59-1 송도병원,37.549888609999996,127.00734711,2018-10-22 00:00:00.000,8,,LCD
136,430.0, 장충동먹자골목 앞,중구,서울특별시 중구 장충단로 193-1  KEB하나은행 장충동지점,37.56212616,127.0062561,2018-11-02 00:00:00.000,6,,LCD
137,431.0, 청계천 영도교,중구,서울특별시 중구 청계천로 400 롯데캐슬베네치아,37.5710144,127.01974487,2018-10-23 00:00:00.000,15,25,QR
138,433.0, 을지로입구역 2번출구,중구,서울특별시 중구 을지로 지하 42 을지로입구역 1번출구,37.56634521,126.98229218,2018-12-14 00:00:00.000,12,,LCD
139,434.0, 신당 래미안 버스정류장,중구,서울특별시 중구 퇴계로90길 74 신당 레미안 버스정류장 (112동 인근),37.56148911,127.02393341,2018-12-06 00:00:00.000,10,,LCD
140,435.0, SK 남산빌딩,중구,서울특별시 중구 퇴계로 33 SK 남산빌딩,37.55686188,126.97561646,2018-12-06 00:00:00.000,10,,LCD
141,826.0, 서울역 서부교차로2,중구,서울특별시 중구 퇴계로 33 서울역 서부교차로2,37.55536652,126.96864319,2017-08-03 13:14:52.000,20,,LCD
142,441.0,염천교사거리,중구,서울특별시 중구 칠패로 5 서소문공원,37.55989075,126.97149658,2020-01-31 00:00:00.000,,15,QR
143,442.0,서울역 서부,중구,서울특별시 중구 퇴계로 33 서울로7017편의시설,37.55641556,126.9691925,2020-02-03 00:00:00.000,,13,QR
144,443.0,호암아트홀,중구,서울특별시 중구 세종대로7길 57-1 구두수선대207 호암아트홀,37.5621109,126.97071838,2020-01-31 00:00:00.000,,9,QR
145,445.0,대한상공회의소,중구,서울특별시 중구 세종대로 39 대한서울상공회의소,37.56015396,126.97410583,2020-01-31 00:00:00.000,,15,QR
146,466.0,롯데호텔,중구,서울특별시 중구 을지로 30 롯데호텔,37.56584167,126.97981262,2020-02-28 00:00:00.000,,13,QR
147,467.0,한국은행,중구,서울특별시 중구 남대문로3가 110-8,37.5622139,126.98086548,2020-01-31 00:00:00.000,,11,QR
148,468.0,웨스틴 조선호텔,중구,서울특별시 중구 소공로 106 서울 웨스틴조선호텔,37.56415939,126.97948456,2020-01-31 00:00:00.000,,8,QR
149,469.0,회현역 1번출구,중구,서울특별시 중구 퇴계로 72 리더스뷰남산,37.5592308,126.98014069,2020-01-31 00:00:00.000,,11,QR
150,470.0,회현역 7번출구,중구,서울특별시 중구 회현동1가 23-1,37.55974579,126.98000336,2020-01-31 00:00:00.000,,13,QR
151,471.0,회현사거리 남측,중구,서울특별시 중구 퇴계로 100 스테이트타워 남산,37.56035995,126.98265076,2020-01-31 00:00:00.000,,10,QR
152,472.0,삼일교(시그니쳐 타워),중구,서울특별시 중구 수표동 99-1,37.56787109,126.98840332,2020-01-30 00:00:00.000,,12,QR
153,473.0,을지로4가역 9번출구,중구,서울특별시 중구 을지로 170,37.56605148,126.99798584,2020-03-01 00:00:00.000,,20,QR
154,474.0,동대문역사문화공원역 1번출구 뒤편,중구,서울특별시 중구 을지로7가 143,37.56629944,127.00849152,2020-01-29 00:00:00.000,,40,QR
155,475.0,DDP 패션몰,중구,서울특별시 중구 신당동 853,37.56764984,127.0118103,2020-01-29 00:00:00.000,,21,QR
156,476.0,광희문,중구,서울특별시 중구 광희동2가 105-32,37.56443024,127.00995636,2020-01-29 00:00:00.000,,10,QR
157,477.0,앰배서더 호텔 주변,중구,서울특별시 중구 장충동2가 191-65,37.55928802,127.00268555,2020-01-30 00:00:00.000,,10,QR
158,479.0,동대입구역 3번 출구,중구,서울특별시 중구 장충동2가 199-4,37.55937576,127.00602721999999,2020-01-30 00:00:00.000,,8,QR
159,480.0,약수역 6번 출구,중구,서울특별시 중구 다산로 122 약수역 3호선,37.55432129,127.01070404,2020-01-30 00:00:00.000,,8,QR
160,483.0,남산타운아파트 버스정류장,중구,서울특별시 중구 다산로 32 남산타운,37.54758453,127.00643921,2020-01-29 00:00:00.000,,12,QR
161,484.0,도동삼거리,중구,서울특별시 중구 남창동 205-4,37.55614853,126.97742462,2020-02-13 00:00:00.000,,12,QR
162,485.0,서울역5번출구,중구,서울특별시 중구 세종대로 2 서울역 1호선,37.55677032,126.97319794,2020-02-03 00:00:00.000,,10,QR
163,4752.0, 삼성사이버빌리지아파트,중구,서울특별시 중구 중림로 10 중림동 삼성 사이버 빌리지,37.55891418,126.96485901,2021-02-02 00:00:00.000,,7,QR
164,4753.0, 시청역 10번출구,중구,서울특별시 중구 서소문로 103,37.56284332,126.9726181,2020-11-03 00:00:00.000,,10,QR
165,4760.0, 서울역 7번출구,중구,서울특별시 중구 남대문로5가 84-11,37.55664444,126.97364044,2020-10-26 00:00:00.000,,10,QR
166,4761.0, 중부경찰서앞사거리 건너편,중구,서울특별시 중구 초동 107-12,37.56474304,126.99095154,2020-10-19 00:00:00.000,,10,QR
167,4762.0, 국제빌딩,중구,서울특별시 중구 남대문로 109,37.56693268,126.98258209,2020-09-23 00:00:00.000,,10,QR
168,4765.0, 동대문디자인플라자,중구,서울특별시 중구 을지로6가 18-169,37.5683136,127.00946045,2020-10-19 00:00:00.000,,20,QR
169,4766.0, 서소문성지역사박물관,중구,서울특별시 중구 중림동 373,37.56024551,126.96878052,2020-10-05 00:00:00.000,,23,QR
170,4768.0, 서울도시건축전시관,중구,서울특별시 중구 태평로1가 60-20,37.5670166,126.97683716,2021-03-18 00:00:00.000,,12,QR
171,4772.0, 중앙일보,중구,서울특별시 중구 서소문동58-6,37.56253433,126.97249603,2020-10-05 00:00:00.000,,10,QR
172,4774.0, 을지로입구역 8번출구,중구,서울특별시 중구 을지로1가 140-1,37.56590271,126.98178101,2020-09-23 00:00:00.000,,9,QR
173,4775.0, 을지로지하쇼핑센터,중구,서울특별시 중구 을지로 66 하나금융그룹 명동사옥,37.56589127,126.98445129,2020-09-24 00:00:00.000,,10,QR
174,3013.0,서울지방고용노동청 앞,중구,서울특별시 중구 삼일대로 363 장교빌딩,37.56760406,126.98725891,2020-10-29 00:00:00.000,,10,QR
175,4776.0, 신세계면세점,중구,서울특별시 중구 충무로1가 54-2,37.56027603,126.98139191,2020-10-19 00:00:00.000,,10,QR
176,4777.0, 약수동 주민센터,중구,서울특별시 중구 다산로96,37.55281448,127.00919342,2021-05-17 00:00:00.000,,8,QR
